Domande,Risposte
Quali sono le principali tecniche di animazione?," Le principali tecniche di animazione sono:                                                                                                                                                                                                                                                                 1.Animazione 3D
2.Animazione 2D
3.Animazione su lavagna
4.Animazione tipografica
5.Argillazione
6.Animazione in stop motion
7.Animazione tradizionale in cel
8.Animazione al rotoscopio
9.Animazione Flipbook
10.Animazione di marionette"
Quali sono le origini del cinema di animazione? ,"Il teatro delle ombre cinesi, gli spettacoli della lanterna magica o del mondo nuovo, e tutta quella serie di strumenti ottici che precedettero la nascita del cinema vero e proprio, sono a ben vedere tutte forme primordiali di animazione.
La tecnica alla base del cinema di animzaione è nota come passo-uno ( detta anche stop-motion o frame by frame). Tale tecnica fu introdotta da Georges Méliès che la utilizzò per la prima volta in 'Escamotage d’une dame chez Robert-Houdin (1896) '. 
Il primo a servirsi della tecnica del passo-uno per animare un disegno fu invece il fumettista James Stuart Blackton che nel 1900 realizza per la Vitagraph, di cui è co-fondatore, il film The Enchanted Drawing. Nel film lo vediamo disegnare su dei fogli bianchi un volto, un sigaro, una bottiglia che inizieranno a muoversi e reagire. Il movimento non è continuo, ma Blackton ha intuito che si può utilizzare la tecnica cinematografica per animare dei disegni.
Sei anni dopo Blackton realizzerà la prima animazione interamente su pellicola: Humorous Phases of Funny Faces (1906). La sua mano esperta traccia sul fondo nero di una lavagna volti di simpatici personaggi che si dissolvono le une sulle altre. Il movimento procede, però, ancora a scatti e solo nella parte finale la rotazione delle pupille negli occhi dei personaggi ci restituisce l’impressione di un movimento continuo.
In Francia Émile Cohl, prendendo a modello l’opera di Blackton, realizzò nel 1908 Fantasmagorie. A differenza del suo maestro, Cohl disegnava figure nere su fogli bianchi, proiettando la pellicola in negativo dava l’impressione che i suoi disegni fossero realizzati su una lavagna proprio come quelli di Blackton. 
Émile Cohl, James Blackton, Winsor McCay, tutti questi pionieri del cinema d’animazione, come molti altri che seguirono, erano stati autori di fumetti,vignettisti, illustratori. Nel corso della storia del cinema sono innumerevoli i personaggi passati dalla carta allo schermo. L’arte fumettistica e il cinema di animazione restano fortemente saldati l’uno all’altro. Anche il cinema classico ricorre sovente a disegnatori esperti per trasformare sceneggiature in storyboard.
Per questi pionieri la produzione di un film animato costava enormi fatiche. Anche per questo i disegni erano fortemente stilizzati. L’introduzione dei rodovetri intervenne a semplificare le cose. Si tratta di fogli trasparenti che posti l’uno sull’altro evitavano all’ animatore di dover ridisegnare sfondo e personaggi ogni volta daccapo, permettevano inoltre di controllare meglio i movimenti. 
Potendo ricreare qualsiasi realtà, basandosi su un linguaggio semplice e intellegibile anche ai più piccoli, l’animazione venne spesso, e viene ancora, utilizzata per fini propagandistici, persuasivi, ma anche educativi e didattici.
Nel frattempo ad Hollywood, l’industria cinematografica acquistava sempre maggiore spessore, l’animazione diveniva un genere sempre più praticato e ben presto i solitari pionieri come Blackton o McCay si ritrovarono circondati da staff sempre più numerosi.
Nel corso del tempo, l’animazione è andata occupando un posto sempre più marginale nella produzione cinematografica europea, restando un prodotto di rilievo per paesi nordamericani e per il Giappone. Ma anche se limitata perlopiù a prodotti destinati al  pubblico più giovane, l’animazione rappresenta da sempre un ampio campo di sperimentazione linguistica. o nella prossima pagina, vennero alcune delle sperimentazioni più proficue nel campo del sonoro."
Con quali software professionali si può realizzare un’animazione? ,"Tra i software più utilizzati dai più grandi studi di animazione 2D del mondo ci sono quelli appartenenti alla software house ToonBoom. Stiamo parlando di Storyboard Pro e Harmony.
Storyboard Pro è un programma che consente di strutturare lo storyboard da cui verrà poi realizzata l’intera animazione. 
La fase di storyboarding è parte fondamentale del processo di creazione di un’animazione. Grazie a questo programma, infatti, è possibile buttare giù una prima bozza di disegno che verrà successivamente definita, controllare la camera e dare una prima idea di movimento sia dei personaggi all’interno della scena sia del passaggio tra una scena e l’altra e permette inoltre di editare il suono aggiungendo effetti audio e dialoghi. 
Harmony è il software che ti consente di importare lo storyboard creato in precedenza e sulla base di questo di progettare, disegnare, animare, comporre, creare effetti speciali e renderizzare il filmato finale. Con questo programma è possibile realizzare sia un’animazione in stile cut-out, quindi muovendo i personaggi attraverso rigging innovativi, sia un’animazione in stile tradizionale andando a disegnare i personaggi frame by frame. 
Tra le serie tv più famose realizzate con questo programma troviamo i Simpson e i Griffin.
Della grande casa di software più famosa di sempre, Adobe, abbiamo almeno tre programmi che vengono utilizzati dai professionisti per la produzione di animazioni.
Adobe Photoshop conosciuto principalmente come programma di fotoritocco e editing ha anche una serie di funzioni che permettono agli animatori non solo di colorare digitalmente ma anche di creare delle animazioni attraverso l’utilizzo della timeline.
Adobe Animate, l’evoluzione del programma Flash, consente di realizzare delle animazioni attraverso l’utilizzo di immagini vettoriali. È possibile rendere vivi i personaggi con la tecnica dell’animazione fotogramma per fotogramma e di sincronizzare il loro labiale con l’audio. 
Adobe AfterEffects è probabilmente il programma più versatile in circolazione. Grazie alla sua vastità di funzioni gli animatori possono realizzare velocemente effetti speciali di altissima qualità e applicarli all’animazione stessa. "
Quali sono i 12 principi dell’animazione? ,"I 12 principi di animazione sono:                                                                                                                                                                                                                                                                 1. Schiacciare e Allungare: questo princìpio ci invita a schiacciare e allungare un oggetto in movimento, per aggiungere dinamismo all’azione; una certa dose di deformazione aumenta infatti la leggibilità del movimento stesso. 
2. Anticipazione: questo princìpio serve a preparare lo spettatore a cosa avverrà di lì a poco. Preannunciare il movimento in arrivo con un movimento contrario introduce l’azione e rende più chiara la scena. 
3. Messa in Scena: sfruttando per esmpio la composizione dell’immagine, il taglio della camera o la recitazione del personaggio, si cerca di rappresentare una situazione inequivocabile.
4. Animazione Diretta o Posa a Posa: esistono due metodi di realizzazione dell’animazione differenti: nell’animazione diretta si crea un frame dopo l’altro in sequenza, mentre in quella posa a posa si individuando i frame chiave (key frames) nei punti clue dell’azione e si vanno a colmare i frame mancanti in un secondo momento. 
5. Inerzia e Ritardo: in questo princìpio si evidenzia l’importanza di rappresentare, nel movimento di un oggetto, quali sono le parti che portano avanti il movimento e quali sono invece quelle passive, trascinate dal movimento. Queste due fasi, quella del ritardo a seguire il moto e quella dello spingersi oltre il punto di arrivo, sono esattamente le due fasi espresse da questo princìpio e da tenere in considerazione quando si anima un movimento.
6. Accelerazione e Rallentamento: sempre per portare il giusto rispetto alla fisica, questo princìpio evidenzia come un movimento non avvenga mai in modo repentino. 
7. Archi: Se il nostro obbiettivo è un’animazione che dia il senso di “vivo” allora bisogna tenere a mente che in natura non esistono oggetti in grado di compiere movimenti perfettamente retti; solitamente le giunture obbligano a un movimento ad arco. Per questo far eseguire una traiettoria curva aggiunge naturalezza e piacevolezza all’azione. 
8. Azione secondaria: questo è il princìpio secondo cui il carattere di un’azione va espresso con i suoi movimenti secondari, cioè tutti quei movimenti che non servono strettamente a compiere l’azione ma riescono a darne il carattere. 
9. Esagerazione: l’animazione è un’illusione che rappresenta la realtà che ci circonda ma, esattamente come un attore di teatro sa che deve esagerare la propria espressione per parlare con chiarezza al pubblico, altrettanto deve fare l’animazione. Esaltare un concetto è la chiave per far scattare l’empatia dell’osservatore, che non deve mai essere dubbioso su quale emozione sta guardando. 
10. Ritmo: Il ritmo, che può essere registico o recitativo, è quel princìpio che ricorda di allocare la giusta quantità di tempo all’azione che si va a compiere, così da aumentarne l’efficacia. Giocare con il ritmo di un’animazione ne varia molto la resa e può anche cambiarene il significato.
11. Figure Solide: Questo princìpio ci ricorda che, per poter muovere un’oggetto in uno spazio tridimensionale, dobbiamo ragionare anche il nostro soggetto come un elemento tridimensionale. 
12. Carisma: ogni personaggio, sia esso un protagonista, un antagonista, un bello o un brutto, deve essere interessante da guardare. Mostrar qualcosa di non caratterizzato porta l’osservatore a distrarsi; al contempo mostrare qualcosa di eccessivamente rivoltante ne fa distogliere lo sguardo. "
Quali sono le differenze tra l’animazione CGI e l’animazione digitale? ,"L’animazione Computer-Generated Imagery (CGI) si usa talvolta come sinonimo di “animazione per computer”. Tuttavia, le due tecniche sono diverse tra loro. Innanzitutto, la CGI riguarda l’aspetto grafico creato con il software sia dal punto di vista statico che dinamico; l’animazione digitale o per computer invece si occupa solo di immagini in movimento. 
Jurassic Park è un esempio classico di CGI, che è stata usata per disegnare i dinosauri e per girare le scene più importanti che li vedevano in azione. La progettazione statica effettiva dei dinosauri era effettuata con tecnica CGI, mentre l’animazione per computer serviva sostanzialmente per portarli in vita. 
Quindi, i termini non possono essere considerati interscambiabili. 
In breve, se si muove, allora potrebbe essere animazione per computer; ma se l’immagine statica, è evidentemente CGI. 
Altri tipi di animazione includono:

1.Animazione rodovetro (celluloide)
2.Stop-motion
3.Grafica animata"
Chi è stato il primo personaggio di animazione a diventare famoso? ,"Felix fu il primo personaggio dell’animazione a divenire una vera star del cinema e protagonista di una lunghissima serie a lui dedicata. Appena qualche anno più tardi dal suo esordio, questo piccolo gatto nero poteva già duettare in balletto con Charlie Chaplin ed incontrare molte altre star del cinema in Felix in Hollywood."
Qual è la differenza tra il cinema d’animazione e la tecnica cinematografica classica?,"La differenza sostanziale tra il cinema d’animazione e la tecnica cinematografica classica (fotografica) sta nel fatto che nell’animazione il movimento non viene registrato in fase di ripresa, ma ricostruito attraverso la proiezione. In sostanza la cinepresa viene utilizzata come un apparecchio fotografico: la ripresa viene più volte interrotta e riavviata in modo che la cinepresa non registri un movimento continuo, ma una serie di immagini statiche, fotogramma per fotogramma, proiettando queste immagini ad una certa velocità si ottiene l’illusione di un movimento continuo."
Qual è stato il primo film di animazione? ,"Il primo film d'animazione in assoluto, Fantasmagorie, fu creato il 17 agosto 1908. Il film fu realizzato da Emile Cohl. La creazione richiese circa cinque mesi e 700 disegni, per un film di 1 minuto e 20 secondi. Il film è stato realizzato utilizzando una lastra di vetro illuminata per tracciare ogni fotogramma e creare un'animazione coerente. "
Che cos’è l’animazione in argilla? ,"La Argillazione, o Animazione in argilla, come suggerisce il nome, è un tipo di animazione in stop motion che prevede la creazione di una scena in argilla. Dai personaggi alla scena, tutto è realizzato in argilla. Questo tipo di animazione è ampiamente utilizzato nei classici film per bambini perché è accattivante e unica. Uno degli esempi più popolari è Chicken run, ma oggi non si vedono più film di questo tipo."
Che cos’è l’animazione digitale? ,"L’animazione per computer, anche detta animazione digitale, è una forma di Computer-Generated Imagery (CGI) che si concentra sulle immagini in movimento. Mentre l’animazione CGI è correlata a immagini statiche generate digitalmente, l’animazione per computer riguarda quelle in movimento. Film come “Toy Story” e “Frozen” ne sono popolari esempi.  
Fondamentalmente, le animazioni danno vita a immagini o oggetti statici conferendo loro movimento in digitale. Gli animatori usano software per disegnarli, modellarli e dar loro movimento nel modo che più preferiscono. L’immagine statica è visualizzata su un computer e sostituita costantemente con un’altra quasi identica per creare la movimentazione (procedura nota come keyframing). 
Puoi usare diversi algoritmi e tecniche di animazione per computer per creare animazioni digitali. I metodi specifici differiscono a seconda dell’attività in questione, dal keyframing alla motion capture e così via. "